Part Desc;Work Order Qty;Case ID;Activity;Resource;Report Type;Worker ID;Qty Completed;Qty for MRB;activity_duration;Complete Timestamp;weekday;hour;timesincelastevent;timesincecasestart;remtime;event_nr;open_cases
Piston;200;Case 192;Turning & Milling Q.C.;Quality Check 1;D;ID4287;0;0;3660.0;2012-01-11 11:09:00;2;11;4140.0;4140.0;3984900.0;2;44
Cable Head;5;Case 244;Round Grinding - Machine 12;Machine 12 - Grinding;D;ID4528;1;0;15720.0;2012-01-11 11:19:00;2;11;69840.0;149400.0;308460.0;5;44
Bushing;40;Case 255;Final Inspection Q.C.;Quality Check 1;D;ID4618;40;0;3600.0;2012-01-11 11:22:00;2;11;90900.0;753720.0;394680.0;4;44
Piston;78;Case 148;other;other;D;other;0;0;5400.0;2012-01-11 11:30:00;2;11;0.0;0.0;3986580.0;1;45
Housing;24;Case 248;Round Grinding - Machine 2;Machine 2 - Round Grinding;D;ID4385;22;0;16740.0;2012-01-11 11:35:00;2;11;16980.0;243720.0;593340.0;12;45
Ballnut;12;Case 269;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID0997;5;0;14100.0;2012-01-11 11:43:00;2;11;70740.0;151980.0;1637280.0;5;45
Cable Head;5;Case 244;Round Grinding - Machine 12;Machine 12 - Grinding;B;ID4528;0;0;4680.0;2012-01-11 12:38:00;2;12;4740.0;154140.0;303720.0;6;45
Cable Head;5;Case 244;Final Inspection Q.C.;Quality Check 1;D;ID4287;0;0;6000.0;2012-01-11 12:40:00;2;12;120.0;154260.0;303600.0;7;45
Cable Head;100;Case 198;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4932;33;0;20940.0;2012-01-11 12:45:00;2;12;47400.0;156060.0;5964840.0;9;45
Cable Head;30;Case 219;Final Inspection Q.C.;Quality Check 1;D;ID4493;0;0;20940.0;2012-01-11 12:49:00;2;12;113400.0;675900.0;562260.0;8;45
Ballnut;48;Case 155;Final Inspection Q.C.;Quality Check 1;D;ID4618;48;0;4500.0;2012-01-11 13:19:00;2;13;79500.0;436980.0;128460.0;11;45
Fastener;313;Case 237;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID4882;300;0;8940.0;2012-01-11 13:22:00;2;13;8640.0;734820.0;4840080.0;6;45
Ballnut;12;Case 269;Turning & Milling Q.C.;Quality Check 1;D;ID4287;12;0;4380.0;2012-01-11 13:53:00;2;13;7800.0;159780.0;1629480.0;6;45
Cable Head;5;Case 244;Round Grinding - Machine 12;Machine 12 - Grinding;D;ID4528;4;0;5220.0;2012-01-11 14:05:00;2;14;5100.0;159360.0;298500.0;8;45
Ballnut;24;Case 233;Final Inspection Q.C.;Quality Check 1;D;ID4287;0;0;5760.0;2012-01-11 15:00:00;2;15;18000.0;687600.0;317580.0;24;45
Ballnut;12;Case 269;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;S;ID0997;1;0;7200.0;2012-01-11 15:04:00;2;15;4260.0;164040.0;1625220.0;7;45
Cable Head;5;Case 232;Round Grinding - Machine 12;Machine 12 - Grinding;S;ID4528;0;0;3600.0;2012-01-11 15:05:00;2;15;165060.0;719940.0;594240.0;5;45
Blade;16;Case 253;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID4882;0;0;4500.0;2012-01-11 15:38:00;2;15;51780.0;208140.0;379320.0;11;45
Ballnut;10;Case 228;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID4882;9;0;4500.0;2012-01-11 15:46:00;2;15;19440.0;622500.0;292440.0;7;45
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;S;ID4932;1;0;10980.0;2012-01-11 15:48:00;2;15;21960.0;21960.0;6799920.0;2;45
Flange;125;Case 207;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;D;ID4794;12;0;22140.0;2012-01-11 15:52:00;2;15;24360.0;225420.0;1588080.0;11;45
Cable Head;200;Case 187;Round Grinding - Machine 3;Machine 3 - Round Grinding;D;ID4385;25;0;32220.0;2012-01-11 15:54:00;2;15;32520.0;800640.0;4008060.0;5;45
Spur Gear;84;Case 211;Final Inspection Q.C.;Quality Check 1;D;ID4618;0;0;27420.0;2012-01-11 16:04:00;2;16;167580.0;262920.0;291360.0;6;45
Punch Holder;350;Case 267;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4167;12;0;30300.0;2012-01-11 16:07:00;2;16;28680.0;511740.0;6771180.0;23;45
Ballnut;12;Case 269;Turning & Milling Q.C.;Quality Check 1;D;ID4287;0;0;4200.0;2012-01-11 16:20:00;2;16;4560.0;168600.0;1620660.0;8;45
Socket;40;Case 194;Turning & Milling - Machine 10;Machine 10 - Grinding;S;ID4132;0;0;33120.0;2012-01-11 16:28:00;2;16;106440.0;106440.0;2277120.0;2;45
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4429;10;0;5700.0;2012-01-11 17:24:00;2;17;5760.0;27720.0;6794160.0;3;45
Cable Head;180;Case 199;Turning & Milling - Machine 10;Machine 10 - Grinding;D;ID4132;11;0;37620.0;2012-01-11 17:42:00;2;17;27540.0;750420.0;6801180.0;30;45
Cable Head;5;Case 232;Round Grinding - Machine 12;Machine 12 - Grinding;D;ID4528;0;0;9420.0;2012-01-11 17:43:00;2;17;9480.0;729420.0;584760.0;6;45
Ballnut;10;Case 228;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID0998;9;0;7140.0;2012-01-11 17:44:00;2;17;7080.0;629580.0;285360.0;8;45
Spur Gear;85;Case 210;Round Grinding - Manual;Machine 27 - Grinding;D;ID4872;9;0;5220.0;2012-01-11 17:45:00;2;17;60300.0;697500.0;371700.0;25;45
Socket;40;Case 194;Turning & Milling Q.C.;Quality Check 1;S;ID4287;0;0;5520.0;2012-01-11 17:52:00;2;17;5040.0;111480.0;2272080.0;3;45
Ballnut;12;Case 269;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID0997;11;0;17340.0;2012-01-11 17:54:00;2;17;5640.0;174240.0;1615020.0;9;45
Cable Head;50;Case 200;Grinding Rework - Machine 27;Machine 27 - Grinding;D;ID4872;0;0;4440.0;2012-01-11 18:59:00;2;18;236640.0;236640.0;1577760.0;2;45
Cable Head;200;Case 187;Round Grinding - Machine 3;Machine 3 - Round Grinding;D;ID4355;10;0;14700.0;2012-01-11 19:59:00;2;19;14700.0;815340.0;3993360.0;6;45
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4718;20;0;10500.0;2012-01-11 21:04:00;2;21;13200.0;40920.0;6780960.0;4;45
Cable Head;150;Case 179;Grinding Rework - Machine 27;Machine 27 - Grinding;D;ID4872;0;0;13920.0;2012-01-11 22:51:00;2;22;0.0;0.0;3660540.0;1;46
Flange;125;Case 207;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;D;ID4718;17;0;27480.0;2012-01-11 23:42:00;2;23;28200.0;253620.0;1559880.0;12;46
Punch Holder;350;Case 267;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4718;0;0;27120.0;2012-01-11 23:42:00;2;23;27300.0;539040.0;6743880.0;24;46
Cable Head;250;Case 178;Grinding Rework - Machine 27;Machine 27 - Grinding;D;ID4872;0;0;3360.0;2012-01-11 23:47:00;2;23;823620.0;845820.0;5362080.0;3;46
Gauge;5;Case 203;Packing;Packing;D;ID4820;5;0;3600.0;2012-01-12 01:00:00;3;1;58920.0;310620.0;21780.0;6;45
Barrel;32;Case 250;Packing;Packing;D;ID4820;32;0;3600.0;2012-01-12 01:00:00;3;1;111600.0;723600.0;0.0;14;45
Cable Head;180;Case 199;Turning & Milling - Machine 10;Machine 10 - Grinding;D;ID4641;8;0;25740.0;2012-01-12 04:41:00;3;4;39540.0;789960.0;6761640.0;31;45
Flange;125;Case 207;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;D;ID4529;9;0;27000.0;2012-01-12 06:30:00;3;6;24480.0;278100.0;1535400.0;13;45
Cable Head;200;Case 187;Round Grinding - Machine 3;Machine 3 - Round Grinding;D;ID4445;37;0;38640.0;2012-01-12 06:44:00;3;6;38700.0;854040.0;3954660.0;7;45
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4529;75;0;35760.0;2012-01-12 07:00:00;3;7;35760.0;76680.0;6745200.0;5;45
Gauge;5;Case 203;Final Inspection Q.C.;Quality Check 1;D;ID4618;5;0;780.0;2012-01-12 07:03:00;3;7;21780.0;332400.0;0.0;7;44
Cable Head;100;Case 198;Turning & Milling Q.C.;Quality Check 1;D;ID4493;95;0;2640.0;2012-01-12 07:44:00;3;7;68340.0;224400.0;5896500.0;10;44
Cable Head;50;Case 200;Final Inspection Q.C.;Quality Check 1;D;ID4493;1;0;1680.0;2012-01-12 08:13:00;3;8;47640.0;284280.0;1530120.0;3;44
Ballnut;12;Case 269;Turning & Milling Q.C.;Quality Check 1;D;ID4287;12;0;6000.0;2012-01-12 08:40:00;3;8;53160.0;227400.0;1561860.0;10;44
Cable Head;50;Case 200;Final Inspection Q.C.;Quality Check 1;D;ID4493;0;0;4500.0;2012-01-12 09:35:00;3;9;4920.0;289200.0;1525200.0;4;44
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4429;18;0;14340.0;2012-01-12 11:07:00;3;11;14820.0;91500.0;6730380.0;6;44
Cable Head;5;Case 244;Final Inspection Q.C.;Quality Check 1;D;ID4287;0;0;12600.0;2012-01-12 12:30:00;3;12;80700.0;240060.0;217800.0;9;44
Cable Head;5;Case 232;Round Grinding - Machine 12;Machine 12 - Grinding;D;ID4528;0;0;20460.0;2012-01-12 12:34:00;3;12;67860.0;797280.0;516900.0;7;44
Cable Head;180;Case 199;Final Inspection Q.C.;Quality Check 1;D;ID4163;0;0;2100.0;2012-01-12 12:50:00;3;12;29340.0;819300.0;6732300.0;32;44
Ballnut;10;Case 228;Final Inspection Q.C.;Quality Check 1;D;ID4618;0;0;4800.0;2012-01-12 12:50:00;3;12;68760.0;698340.0;216600.0;9;44
Cable Head;5;Case 232;Lapping - Machine 1;Machine 1 - Lapping;D;ID4528;0;0;1140.0;2012-01-12 12:53:00;3;12;1140.0;798420.0;515760.0;8;44
Cable Head;5;Case 232;Round Grinding - Manual;Machine 27 - Grinding;S;ID4528;0;0;3960.0;2012-01-12 13:59:00;3;13;3960.0;802380.0;511800.0;9;44
Cable Head;100;Case 198;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID4882;95;0;3600.0;2012-01-12 14:35:00;3;14;24660.0;249060.0;5871840.0;11;44
Ballnut;64;Case 249;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;S;ID0997;1;0;25320.0;2012-01-12 15:05:00;3;15;0.0;0.0;836400.0;1;45
Cable Head;20;Case 231;Lapping - Machine 1;Machine 1 - Lapping;D;ID0998;19;0;10920.0;2012-01-12 15:27:00;3;15;0.0;0.0;924180.0;1;46
Cable Head;5;Case 232;Round Grinding - Manual;Machine 27 - Grinding;D;ID4528;2;0;6240.0;2012-01-12 15:43:00;3;15;6240.0;808620.0;505560.0;10;46
Cable Head;200;Case 187;Round Grinding - Machine 3;Machine 3 - Round Grinding;D;ID4385;21;0;31920.0;2012-01-12 15:51:00;3;15;32820.0;886860.0;3921840.0;8;46
Socket;40;Case 194;Turning & Milling Q.C.;Quality Check 1;D;ID4287;0;0;11340.0;2012-01-12 15:51:00;3;15;79140.0;190620.0;2192940.0;4;46
Spur Gear;85;Case 210;Final Inspection Q.C.;Quality Check 1;D;ID4618;0;0;3240.0;2012-01-12 15:59:00;3;15;80040.0;777540.0;291660.0;26;46
Ballnut;64;Case 249;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;S;ID0997;0;0;3240.0;2012-01-12 16:00:00;3;16;3300.0;3300.0;833100.0;2;46
Cable Head;180;Case 199;Final Inspection Q.C.;Quality Check 1;D;ID4163;0;0;10020.0;2012-01-12 16:07:00;3;16;11820.0;831120.0;6720480.0;33;46
Socket;40;Case 194;Turning & Milling - Machine 10;Machine 10 - Grinding;S;ID4132;3;0;38220.0;2012-01-12 17:42:00;3;17;6660.0;197280.0;2186280.0;5;46
Punch Plate;151;Case 21;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;S;ID4167;0;0;37680.0;2012-01-12 17:55:00;3;17;0.0;0.0;3481500.0;1;47
Flange;125;Case 207;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;D;ID4794;8;0;39660.0;2012-01-12 18:07:00;3;18;41820.0;319920.0;1493580.0;14;47
Cable Head;200;Case 187;Round Grinding - Machine 3;Machine 3 - Round Grinding;D;ID4872;23;0;27480.0;2012-01-12 23:42:00;3;23;28260.0;915120.0;3893580.0;9;47
Flange;125;Case 207;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;D;ID4529;0;0;4500.0;2012-01-13 00:56:00;4;0;24540.0;344460.0;1469040.0;15;47
Ballnut;48;Case 155;Packing;Packing;D;ID4820;48;0;3600.0;2012-01-13 01:00:00;4;1;128460.0;565440.0;0.0;12;46
Cable Head;200;Case 187;Round Grinding - Machine 3;Machine 3 - Round Grinding;D;ID4445;7;0;10620.0;2012-01-13 03:18:00;4;3;12960.0;928080.0;3880620.0;10;46
Flange;125;Case 207;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;D;ID4529;0;0;23700.0;2012-01-13 06:17:00;4;6;19260.0;363720.0;1449780.0;16;46
Punch Plate;151;Case 21;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4529;51;0;24360.0;2012-01-13 06:26:00;4;6;45060.0;45060.0;3436440.0;2;46
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4529;26;0;24540.0;2012-01-13 06:27:00;4;6;69600.0;161100.0;6660780.0;7;46
Socket;40;Case 194;Turning & Milling - Machine 10;Machine 10 - Grinding;D;ID4641;8;0;34740.0;2012-01-13 06:28:00;4;6;45960.0;243240.0;2140320.0;6;46
Ballnut;64;Case 249;Turning & Milling Q.C.;Quality Check 1;D;ID4287;0;0;2880.0;2012-01-13 07:41:00;4;7;56460.0;59760.0;776640.0;3;46
Flange;125;Case 207;Turning & Milling Q.C.;Quality Check 1;D;ID4163;56;0;3600.0;2012-01-13 08:00:00;4;8;6180.0;369900.0;1443600.0;17;46
Flange;125;Case 207;Turning & Milling Q.C.;Quality Check 1;D;ID4163;0;0;1200.0;2012-01-13 08:20:00;4;8;1200.0;371100.0;1442400.0;18;46
Flange;125;Case 207;Turning & Milling Q.C.;Quality Check 1;D;ID4163;0;0;600.0;2012-01-13 08:30:00;4;8;600.0;371700.0;1441800.0;19;46
Punch Plate;151;Case 21;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4932;0;0;4500.0;2012-01-13 08:38:00;4;8;7920.0;52980.0;3428520.0;3;46
Flange;125;Case 207;Turning & Milling Q.C.;Quality Check 1;D;ID4163;0;0;600.0;2012-01-13 08:40:00;4;8;600.0;372300.0;1441200.0;20;46
Flange;125;Case 207;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;D;ID4429;63;0;60.0;2012-01-13 09:33:00;4;9;3180.0;375480.0;1438020.0;21;46
Cable Head;150;Case 179;Final Inspection Q.C.;Quality Check 1;D;ID4163;10;0;3600.0;2012-01-13 10:00:00;4;10;126540.0;126540.0;3534000.0;2;46
Ballnut;10;Case 228;Final Inspection Q.C.;Quality Check 1;D;ID4618;9;0;4500.0;2012-01-13 10:54:00;4;10;79440.0;777780.0;137160.0;10;46
Socket;40;Case 194;Turning & Milling Q.C.;Quality Check 1;D;ID4287;37;0;5400.0;2012-01-13 12:30:00;4;12;21720.0;264960.0;2118600.0;7;46
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4429;23;0;19740.0;2012-01-13 12:38:00;4;12;22260.0;183360.0;6638520.0;8;46
Ballnut;64;Case 249;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID0997;18;0;17520.0;2012-01-13 12:40:00;4;12;17940.0;77700.0;758700.0;4;46
Socket;40;Case 194;Turning & Milling - Machine 10;Machine 10 - Grinding;D;ID3846;7;0;21360.0;2012-01-13 12:48:00;4;12;1080.0;266040.0;2117520.0;8;46
Punch Plate;151;Case 21;Turning & Milling Q.C.;Quality Check 1;D;ID4618;0;0;21000.0;2012-01-13 12:50:00;4;12;0.0;68100.0;3413400.0;4;46
Punch Plate;151;Case 21;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4932;25;0;19560.0;2012-01-13 12:50:00;4;12;15120.0;68100.0;3413400.0;5;46
Cable Head;5;Case 244;Final Inspection Q.C.;Quality Check 1;D;ID4287;4;0;1620.0;2012-01-13 12:52:00;4;12;87720.0;327780.0;130080.0;10;46
Cable Head;180;Case 199;Final Inspection Q.C.;Quality Check 1;D;ID4163;0;0;3180.0;2012-01-13 12:53:00;4;12;74760.0;905880.0;6645720.0;34;46
Spur Gear;84;Case 211;Final Inspection Q.C.;Quality Check 1;D;ID4618;79;0;4500.0;2012-01-13 13:18:00;4;13;162840.0;425760.0;128520.0;7;46
Socket;40;Case 194;Turning & Milling - Machine 10;Machine 10 - Grinding;D;ID4132;20;0;72720.0;2012-01-14 09:00:00;5;9;72720.0;338760.0;2044800.0;9;46
Socket;40;Case 194;other;other;D;ID4932;39;0;14400.0;2012-01-14 13:00:00;5;13;14400.0;353160.0;2030400.0;10;46
Punch Plate;151;Case 21;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4794;25;0;18000.0;2012-01-14 22:00:00;5;22;119400.0;187500.0;3294000.0;6;46
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4794;36;0;32400.0;2012-01-14 22:00:00;5;22;120120.0;303480.0;6518400.0;9;46
Cable Head;5;Case 232;Round Grinding - Manual;Machine 27 - Grinding;D;ID4528;2;0;7680.0;2012-01-14 23:54:00;5;23;202260.0;1010880.0;303300.0;11;46
Cable Head;5;Case 232;Round Grinding - Machine 12;Machine 12 - Grinding;S;ID4528;0;0;1800.0;2012-01-15 00:25:00;6;0;1860.0;1012740.0;301440.0;12;46
Cable Head;150;Case 179;Packing;Packing;D;ID4820;10;0;3600.0;2012-01-15 01:00:00;6;1;140400.0;266940.0;3393600.0;3;43
Cable Head;50;Case 200;Packing;Packing;D;ID4820;1;0;3600.0;2012-01-15 01:00:00;6;1;228300.0;517500.0;1296900.0;5;43
Spur Gear;84;Case 211;Packing;Packing;D;ID4820;12;0;3600.0;2012-01-15 01:00:00;6;1;0.0;554280.0;0.0;8;43
Spur Gear;84;Case 211;Packing;Packing;D;ID4820;67;0;3600.0;2012-01-15 01:00:00;6;1;128520.0;554280.0;0.0;9;43
Ballnut;10;Case 228;Packing;Packing;D;ID4820;9;0;3600.0;2012-01-15 01:00:00;6;1;137160.0;914940.0;0.0;11;43
Ballnut;24;Case 233;Packing;Packing;D;ID4820;22;0;3600.0;2012-01-15 01:00:00;6;1;295200.0;982800.0;22380.0;25;43
Cable Head;5;Case 244;Packing;Packing;D;ID4820;4;0;3600.0;2012-01-15 01:00:00;6;1;130080.0;457860.0;0.0;11;43
Punch Plate;151;Case 21;Turning & Milling Q.C.;Quality Check 1;D;ID4529;0;0;4500.0;2012-01-15 01:15:00;6;1;11700.0;199200.0;3282300.0;7;43
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4529;0;0;4500.0;2012-01-15 01:15:00;6;1;11700.0;315180.0;6506700.0;10;43
Socket;40;Case 194;Turning & Milling - Machine 10;Machine 10 - Grinding;D;ID4132;2;0;12120.0;2012-01-15 03:17:00;6;3;51420.0;404580.0;1978980.0;11;43
Punch Plate;151;Case 21;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4794;15;0;23160.0;2012-01-15 04:41:00;6;4;12360.0;211560.0;3269940.0;8;43
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4794;28;0;25440.0;2012-01-15 05:59:00;6;5;17040.0;332220.0;6489660.0;11;43
Ballnut;16;Case 239;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;S;ID4794;1;0;27720.0;2012-01-15 06:38:00;6;6;0.0;0.0;1275720.0;1;44
Cable Head;5;Case 232;Round Grinding - Machine 12;Machine 12 - Grinding;D;ID4528;2;0;22440.0;2012-01-15 06:40:00;6;6;22500.0;1035240.0;278940.0;13;44
Cable Head;180;Case 199;Turning & Milling - Machine 10;Machine 10 - Grinding;S;ID4132;1;0;13380.0;2012-01-15 07:00:00;6;7;151620.0;1057500.0;6494100.0;35;44
Blade;16;Case 253;Final Inspection Q.C.;Quality Check 1;D;ID4618;15;0;720.0;2012-01-15 07:02:00;6;7;314640.0;522780.0;64680.0;12;44
Ballnut;24;Case 233;Final Inspection Q.C.;Quality Check 1;D;ID4287;22;0;1260.0;2012-01-15 07:13:00;6;7;22380.0;1005180.0;0.0;26;43
Cable Head;180;Case 199;Final Inspection Q.C.;Quality Check 1;D;ID4163;0;0;6000.0;2012-01-15 08:40:00;6;8;6000.0;1063500.0;6488100.0;36;43
Spur Gear;85;Case 210;Final Inspection Q.C.;Quality Check 1;D;ID4618;65;0;60.0;2012-01-15 09:21:00;6;9;235320.0;1012860.0;56340.0;27;43
Punch Plate;151;Case 21;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4932;35;0;75120.0;2012-01-15 09:52:00;6;9;18660.0;230220.0;3251280.0;9;43
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4932;36;0;75300.0;2012-01-15 09:55:00;6;9;14160.0;346380.0;6475500.0;12;43
Ballnut;16;Case 239;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;S;ID4429;1;0;2940.0;2012-01-15 10:34:00;6;10;14160.0;14160.0;1261560.0;2;43
Ballnut;108;Case 215;Final Inspection Q.C.;Quality Check 1;D;ID4618;0;0;12960.0;2012-01-15 10:55:00;6;10;579060.0;848040.0;167700.0;10;43
Ballnut;16;Case 239;Turning & Milling Q.C.;Quality Check 1;D;ID4618;0;0;1560.0;2012-01-15 11:29:00;6;11;3300.0;17460.0;1258260.0;3;43
Cable Head;30;Case 219;Final Inspection Q.C.;Quality Check 1;D;ID4493;19;9;60.0;2012-01-15 12:15:00;6;12;343560.0;1019460.0;218700.0;9;43
Punch Plate;151;Case 21;Turning & Milling Q.C.;Quality Check 1;D;ID4618;0;0;3840.0;2012-01-15 12:37:00;6;12;9900.0;240120.0;3241380.0;10;43
Cable Head;180;Case 199;Final Inspection Q.C.;Quality Check 1;D;ID4163;0;0;13800.0;2012-01-15 12:50:00;6;12;15000.0;1078500.0;6473100.0;37;43
Cable Head;250;Case 178;Grinding Rework - Machine 27;Machine 27 - Grinding;D;ID4872;0;0;19320.0;2012-01-15 13:30:00;6;13;308580.0;1154400.0;5053500.0;4;43
Ballnut;16;Case 239;Turning & Milling - Machine 6;Machine 6 - Turning & Milling;S;ID4529;2;0;11280.0;2012-01-15 13:39:00;6;13;7800.0;25260.0;1250460.0;4;43
Cable Head;180;Case 199;Final Inspection Q.C.;Quality Check 1;D;ID4163;0;0;2400.0;2012-01-15 14:00:00;6;14;4200.0;1082700.0;6468900.0;38;43
Punch Plate;170;Case 20;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;S;ID4167;1;0;21000.0;2012-01-15 14:06:00;6;14;0.0;0.0;3236040.0;1;44
Cable Head;20;Case 231;Round Grinding - Machine 2;Machine 2 - Round Grinding;S;ID4355;1;0;12840.0;2012-01-15 14:26:00;6;14;255540.0;255540.0;668640.0;2;44
Cable Head;180;Case 199;Final Inspection Q.C.;Quality Check 1;D;ID4163;0;0;1800.0;2012-01-15 14:30:00;6;14;1800.0;1084500.0;6467100.0;39;44
Flange;125;Case 207;Turning & Milling Q.C.;Quality Check 1;D;ID4163;0;0;780.0;2012-01-15 14:43:00;6;14;191400.0;566880.0;1246620.0;22;44
Cable Head;150;Case 257;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;D;ID4429;27;0;21780.0;2012-01-15 14:43:00;6;14;17280.0;363660.0;6458220.0;13;44
Housing;24;Case 248;Final Inspection Q.C.;Quality Check 1;D;ID4493;0;0;9660.0;2012-01-15 15:11:00;6;15;358560.0;602280.0;234780.0;13;44
Cable Head;250;Case 178;Lapping - Machine 1;Machine 1 - Lapping;D;ID4882;0;0;17940.0;2012-01-15 15:12:00;6;15;6120.0;1160520.0;5047380.0;5;44
Punch Plate;151;Case 21;Turning & Milling Q.C.;Quality Check 1;D;ID4618;151;0;60.0;2012-01-15 15:32:00;6;15;10500.0;250620.0;3230880.0;11;44
Punch Plate;170;Case 20;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4167;8;0;5340.0;2012-01-15 15:36:00;6;15;5400.0;5400.0;3230640.0;2;44
Cable Head;200;Case 187;Lapping - Machine 1;Machine 1 - Lapping;D;ID4882;0;0;2580.0;2012-01-15 15:57:00;6;15;218340.0;1146420.0;3662280.0;11;44
Cable Head;180;Case 199;Turning & Milling - Machine 10;Machine 10 - Grinding;D;ID4641;6;0;24420.0;2012-01-15 15:57:00;6;15;5220.0;1089720.0;6461880.0;40;44
Punch Plate;170;Case 20;Turning & Milling Q.C.;Quality Check 1;D;ID4618;0;0;7260.0;2012-01-15 16:08:00;6;16;1920.0;7320.0;3228720.0;3;44
Cable Head;200;Case 187;Round Grinding - Machine 3;Machine 3 - Round Grinding;D;ID4445;0;0;13680.0;2012-01-15 16:09:00;6;16;720.0;1147140.0;3661560.0;12;44
Punch Plate;151;Case 21;Turning & Milling Q.C.;Quality Check 1;D;ID4167;0;0;3900.0;2012-01-15 16:09:00;6;16;2220.0;252840.0;3228660.0;12;44
Cable Head;20;Case 231;Round Grinding - Machine 2;Machine 2 - Round Grinding;D;ID4355;2;0;6120.0;2012-01-15 16:09:00;6;16;6180.0;261720.0;662460.0;3;44
Socket;40;Case 194;Turning - Machine 9;Machine 9 - Turning & Milling;S;ID3846;2;0;25620.0;2012-01-15 16:25:00;6;16;47280.0;451860.0;1931700.0;12;44
Cable Head;250;Case 178;Lapping - Machine 1;Machine 1 - Lapping;D;ID0998;0;0;25620.0;2012-01-15 17:27:00;6;17;8100.0;1168620.0;5039280.0;6;44
Socket;40;Case 194;Turning - Machine 9;Machine 9 - Turning & Milling;D;ID3846;4;0;5160.0;2012-01-15 17:52:00;6;17;5220.0;457080.0;1926480.0;13;44
Socket;40;Case 194;Turning & Milling Q.C.;Quality Check 1;D;ID4287;0;0;32280.0;2012-01-15 17:58:00;6;17;360.0;457440.0;1926120.0;14;44
Ballnut;64;Case 249;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID0997;38;0;30360.0;2012-01-15 17:58:00;6;17;191880.0;269580.0;566820.0;5;44
Cable Head;180;Case 199;Turning & Milling - Machine 10;Machine 10 - Grinding;D;ID4132;3;0;5940.0;2012-01-15 18:03:00;6;18;7560.0;1097280.0;6454320.0;41;44
Ballnut;64;Case 249;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;D;ID4932;6;0;7740.0;2012-01-15 22:15:00;6;22;15420.0;285000.0;551400.0;6;44
Punch Plate;170;Case 20;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4794;20;0;4200.0;2012-01-15 22:24:00;6;22;22560.0;29880.0;3206160.0;4;44
Cable Head;5;Case 232;Round Grinding - Machine 12;Machine 12 - Grinding;D;ID4528;0;0;12600.0;2012-01-15 23:32:00;6;23;60720.0;1095960.0;218220.0;14;44
